image_source,manufacturer_location,material,short_description,price,general_description,size,brand
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_77944_19637_on_a.jpg,Origin: Fabric from Japan,Content: 100% cupro,Cropped tie-front blouse,$138,"Cropped tie-front blouse SAFFRON ORANGE
BLACK
SAND
GREY TAUPE
AVORIO
FRESCO PINK
ESPACE
CLASSIC NAVY
COOL BEIGE
TANNIN
DUSTY MAUVE","2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_73624_1565_on_a.jpg,,"Content: 100% polyester; Trim: 69% polyester, 31% rubber",Cropped chiffon prairie blouse,$128,"Cropped chiffon prairie blouse COFFEE BEAN
BLACK
LIGHT BIRCH
SHADOW BLUE
TURNER TAUPE
BIRCH
NIGHT BIRD
PISTACHIO PUDDING
SILVER SAGE GREEN","2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_82505_19328_on_a.jpg,,"Content: 50% recycled polyester, 50% polyester ",Puff-sleeve smocked prairie blouse,$98,"Puff-sleeve smocked prairie blouse SPARROW TAUPE
BLACK
SAGE FROST
LIGHT BIRCH","2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_77541_19496_on_a.jpg,,Content: 100% polyester,Relaxed-fit shirt jacket,$148,"Relaxed-fit shirt jacket BASALT GREY
LIGHT BIRCH
BLACK
GREY TAUPE","2XS
XS
S
M
L",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_79295_19469_on_a.jpg,Origin: Fabric from Japan,Content: 100% polyester,Satin button-up shirt,$138,"Satin button-up shirt HEIRLOOM PINK
AVORIO
GREY TAUPE
SAGE FROST","2XS
XS
S
M
L",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_76447_19637_on_a.jpg,,"Content: 100% polyester; Trim: 69% polyester, 31% rubber",Smocked ruffle camisole,$78,"Smocked ruffle camisole SAFFRON ORANGE
BLACK
LIGHT BIRCH
ESPACE","2XS
XS
S
M
L",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_80855_11420_on_a.jpg,Origin: Fabric from Japan,Content: 100% cupro,"Boxy-fit, button-up satin blouse",$98,"Boxy-fit, button-up satin blouse LIGHT BIRCH
BLACK","2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_80852_10064_on_a.jpg,,Content: 100% polyester,Chiffon V-neck wrap blouse,$98,Chiffon V-neck wrap blouse BLACK/BONE,"2XS
XS
S
M
L",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_80853_11420_on_a.jpg,,Content: 100% polyester,Chiffon ruffle blouse,$128,Chiffon ruffle blouse LIGHT BIRCH,"2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_82724_19469_on_a.jpg,Origin: Fabric from Japan,Content: 100% cupro,Ruched satin camisole,$78,"Ruched satin camisole HEIRLOOM PINK
AVORIO
BLACK
COFFEE BEAN","2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_68083_19469_on_a.jpg,Origin: Fabric from Japan,Content: 100% cupro,Satin ruffle camisole,$68,"Satin ruffle camisole HEIRLOOM PINK
BLACK
AVORIO
SPARROW TAUPE","3XS
2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_82723_19496_on_a.jpg,Origin: Fabric from Japan,Content: 100% cupro,Satin cowl neck camisole,$68,"Satin cowl neck camisole BASALT GREY
BLACK
AVORIO
SAGE FROST
SAFFRON ORANGE","2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_02_a02_73502_18117_on_a.jpg,,Content: 100% viscose; Lining: 100% polyester,"Cropped, tie-front blouse",$68,"Cropped, tie-front blouse SOFT BLUSH PINK
GISELLE
SMOKEY BLUE
LILAC GREY
LEMONGRASS
NIGHT BIRD
SCARAB
CLOVE
MAGNOLIA
NOBLE
PEARL GREY
PISTACHIO GREEN
AQUA BLUE
SWEET CREAM
LILAC CLOUD
SEA SPRAY","2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_02_a02_81067_6091_on_a.jpg,,Content: 100% viscose,"Cropped, tie-front peplum blouse",$78,"Cropped, tie-front peplum blouse WHITE/MULTI","2XS
XS
S
M
L
XL",Aritzia
https://aritzia.scene7.com/is/image/Aritzia/medium/s21_02_a02_81372_11420_on_a.jpg,,Content: 100% viscose,Scalloped collared blouse,$78,"Scalloped collared blouse LIGHT BIRCH
OXFORD NAVY","2XS
XS
S
M
L
XL",Aritzia
